base_year_month,time_range,sex,age_range,user_count
201909,21~24,남성,20대 이하,68173
201909,21~24,남성,30대,156012
201909,21~24,남성,40대,166527
201909,21~24,남성,50대,94657
201909,21~24,남성,60대,22478
201909,21~24,남성,70대 이상,2704
201909,21~24,여성,20대 이하,77639
201909,21~24,여성,30대,87128
201909,21~24,여성,40대,96683
201909,21~24,여성,50대,63103
201909,21~24,여성,60대,14386
201909,21~24,여성,70대 이상,2947
201909,기타,남성,20대 이하,44506
201909,기타,남성,30대,84938
201909,기타,남성,40대,93672
201909,기타,남성,50대,54634
201909,기타,남성,60대,17706
201909,기타,남성,70대 이상,2269
201909,기타,여성,20대 이하,44201
201909,기타,여성,30대,48045
201909,기타,여성,40대,49094
201909,기타,여성,50대,30995
201909,기타,여성,60대,9052
201909,기타,여성,70대 이상,1990
201910,09~12,남성,20대 이하,58168
201910,09~12,남성,30대,191690
201910,09~12,남성,40대,212574
201910,09~12,남성,50대,118034
201910,09~12,남성,60대,40873
201910,09~12,남성,70대 이상,8191
201910,09~12,여성,20대 이하,91400
201910,09~12,여성,30대,189459
201910,09~12,여성,40대,182025
201910,09~12,여성,50대,107499
201910,09~12,여성,60대,35362
201910,09~12,여성,70대 이상,6129
201910,12~15,남성,20대 이하,125005
201910,12~15,남성,30대,414487
201910,12~15,남성,40대,485343
201910,12~15,남성,50대,288127
201910,12~15,남성,60대,111812
201910,12~15,남성,70대 이상,29453
201910,12~15,여성,20대 이하,199081
201910,12~15,여성,30대,394685
201910,12~15,여성,40대,415904
201910,12~15,여성,50대,254249
201910,12~15,여성,60대,87359
201910,12~15,여성,70대 이상,18303
201910,15~18,남성,20대 이하,83861
201910,15~18,남성,30대,239577
201910,15~18,남성,40대,247700
201910,15~18,남성,50대,129642
201910,15~18,남성,60대,46370
201910,15~18,남성,70대 이상,9733
201910,15~18,여성,20대 이하,146255
201910,15~18,여성,30대,251504
201910,15~18,여성,40대,262724
201910,15~18,여성,50대,145620
201910,15~18,여성,60대,45940
201910,15~18,여성,70대 이상,9173
201910,18~21,남성,20대 이하,126085
201910,18~21,남성,30대,368617
201910,18~21,남성,40대,434251
201910,18~21,남성,50대,267790
201910,18~21,남성,60대,91845
201910,18~21,남성,70대 이상,17375
201910,18~21,여성,20대 이하,183210
201910,18~21,여성,30대,301923
201910,18~21,여성,40대,350649
201910,18~21,여성,50대,213261
201910,18~21,여성,60대,61852
201910,18~21,여성,70대 이상,10065
201910,21~24,남성,20대 이하,76229
201910,21~24,남성,30대,170553
201910,21~24,남성,40대,190245
201910,21~24,남성,50대,110113
201910,21~24,남성,60대,27873
201910,21~24,남성,70대 이상,3057
201910,21~24,여성,20대 이하,86337
201910,21~24,여성,30대,99665
201910,21~24,여성,40대,116181
201910,21~24,여성,50대,70075
201910,21~24,여성,60대,14753
201910,21~24,여성,70대 이상,2721
201910,기타,남성,20대 이하,50948
201910,기타,남성,30대,91829
201910,기타,남성,40대,108418
201910,기타,남성,50대,65540
201910,기타,남성,60대,20337
201910,기타,남성,70대 이상,3177
201910,기타,여성,20대 이하,45978
201910,기타,여성,30대,55372
201910,기타,여성,40대,62049
201910,기타,여성,50대,39230
201910,기타,여성,60대,11187
201910,기타,여성,70대 이상,2329
201911,09~12,남성,20대 이하,53794
201911,09~12,남성,30대,171819
201911,09~12,남성,40대,193983
201911,09~12,남성,50대,114716
201911,09~12,남성,60대,41571
201911,09~12,남성,70대 이상,8650
